Datei Index,Lebensalter,Geschlecht ,Händigkeit,Bundesland / Land,Freitext,Potenzielle Bildprobleme,Vermerkt Herkunft
1,31,Männlich,Rechts,Nordrhein-Westfalen,Der Herbst ist die beste Zeit um Pumpkin Spiced Latte zu trinken.,,E-Mail
2,63,Weiblich,Rechts,Hessen,"Das Laub an den Bäumen ist bunt, nicht mehr lange, dann fallen die Blätter. ",,E-Mail
3,37,Männlich,Rechts,Hessen,Wir fahren im Herbst mit dem roten Auto durch den Wald. ,,E-Mail
4,45,Männlich,Rechts,Bayern,Zeitmaschiene. Ich hasse den kalten Herbst. Darum erfand ich eine,,E-Mail
5,36,Weiblich,Rechts,Niedersachsen,Die bunten Blätter fallen vom Baum und bleiben liegen.,,E-Mail
6,48,Weiblich,Rechts,Nordrhein-Westfalen,Heute leuchten die bunten Herbstblätter prächtig in der Novembersonne.,,E-Mail
7,39,Männlich,Rechts,Hessen,Im Herbst fressen Bären Beeren um fest schlafen zu können.,,E-Mail
8,40,Männlich,Rechts,Mecklenburg-Vorpommern,Die Herbstzeitlosen und Astern blühten im Mühlenteich immer so schön.,,E-Mail
9,34,Männlich,Rechts,Bayern,Mein Pilzragout fährt mit seiner Laubmaschine auf dem Mittelstreifen der Sonnenallle .,,E-Mail
10,80,Männlich,Rechts,Baden-Württemberg ,Im Herbst lässt der Wind die Blätter richtig tanzen.,,E-Mail
11,51,Männlich,Rechts,Baden-Württemberg ,Der Herbst ist die Jahreszeit voller Farbenpracht und Kühle,,E-Mail
12,39,Weiblich,Rechts,Nordrhein-Westfalen,Im Herbst fallen die Blätter und kaum hat man sich versehen ist Winter.,,E-Mail
13,30,Männlich,Links,Kuba,Im Herbst gehe ich mit meinem Hund durch das Laubspazieren,,E-Mail
14,38,Weiblich,Rechts,Berlin (West),Der Herbst ist immer dunkel und doof.,,E-Mail
15,29,Männlich,Rechts,Nordrhein-Westfalen,Im Hebst wechselt das Laub an den Bäumen seine farbe.,,E-Mail
16,84,Männlich,Rechts,Sachsen ,Die Kraniche treffen sich zum Flug in den Süden,,E-Mail
17,62,Männlich,Rechts,Rheinland-Pfalz,Im Herbst fallen die Blätter auf den Boden im Garten,,E-Mail
18,21,Weiblich,Rechts,Berlin,Im Herbst färben sich die Blätter rot und braun. ,,E-Mail
19,82,Männlich,Rechts,Sachsen-Anhalt,Der Herbst gehört zu der schönsten Jahreszeit.,,E-Mail
20,73,Weiblich,Rechts,Thüringen,"Der Herbst ist in diesem Jahr wunderschön , die Blätter sind bunt gefärbt und die Stimmung ist großartig.",,E-Mail
21,34,Männlich,Rechts,Berlin,Der Herbst hat bunte schöne Blätter und eine goldene Abendsonne .,,E-Mail
22,62,Weiblich,Rechts,Thüringen,"Der Herbst ist eine schöne Jahreszeit , finde ich .",,E-Mail
23,55,Weiblich,Rechts,Berlin (Ost),Die Bunten Blätter fallen im Herbst sacht und leise .,,E-Mail
24,21,Weiblich,Rechts,Berlin,"Goldene Blätter fallen, tanzen im Wind, kündigen den Herbst an .",,E-Mail
25,20,Männlich,Rechts,Baden-Württemberg ,Jannina läuft mit ihrem Hund durch den herbstlichen roten Wald .,,E-Mail
26,75,Männlich,Rechts,Baden-Württemberg ,"Ein Online - Portal, das nicht online ist, existiert nicht. ",,E-Mail
27,67,Weiblich,Rechts,Niedersachsen,"Kaum eine andere Zeit im Jahr ist so bunt und vielseitig , wie der Herbst.",,E-Mail
28,34,Weiblich,Rechts,Baden-Württemberg ,"Wer jetzt kein Haus hat, baut sich keins mehr.",,E-Mail
29,33,Männlich,Rechts,Bayern,"Mein schöner Hund spielt mit den vielen , bunten Blättern.",,E-Mail
30,28,Männlich,Rechts,Berlin (West),Im Herbst will Viktor nicht mehr aus dem Haus raus.,,Opnform
31,38,Männlich,Rechts,Berlin (West),"Der Herbst besticht durch seine nasskalten , grauen , trübern und trostlosen Tage .",,Opnform
32,44,Männlich,Rechts,Berlin (Ost),"Die Blätter wirbeln im Wind , tanzen in warmen Farben .",,Opnform
33,56,Männlich,Rechts,Bayern,Im Herbst fallen Blätter auf Menschen und auf Autos nieder. ,,Opnform
34,35,Weiblich,Rechts,Schleswig-Holstein,"Im Herbst werden die Blätter bunt, es wird immer kälter und es regenet jetzt häufiger.",,Opnform
35,57,Männlich,Rechts,Thüringen,Bunt sind schon die Wälder und gelb die Stoppelfelder .,Etwas wurde durchgestichen und korrigiert,Opnform
36,36,Weiblich,Rechts,Hessen,Wir flogen mit unseren Fahrrädern durch das herbstliche Blättergestöber,,Opnform
37,57,Männlich,Rechts,Hessen,Wie wunderschön steht nach allen Herbststurm noch der rote Pfeffer. (Buson),,Opnform
38,37,Weiblich,Rechts,Bayern,Die Tage werden kürzer und die Blätter bunt. ,,Opnform
39,42,Männlich,Links,Niedersachsen,Sieben dicke Ahornbäume schütteln ihre bunten Blätter von den Ästen .,,Opnform
40,39,Männlich,Rechts,Schleswig-Holstein,freies schreiben ,"Nur 2 Worte, Durchgestrochen und eingefügt ",Opnform
41,57,Männlich,Rechts,Hessen,Im Herbst wird es bunt und danach fallen die Blätter herunter ,,Opmform
42,70,Männlich,Rechts,Hessen,Der Herbst färbt die Blätter und bald sind die Bäume kahl. ,,E-Mail
43,36,Weiblich,Rechts,Schleswig-Holstein,Tausend bunte Blätter fallen auf den grauen regennassen Asphalt hinab . ,,E-Mail
44,38,Weiblich,Rechts,Schleswig-Holstein,"Der Herbst ist eine wunderschöne bunte , leide , nasse und manchmal kalte Jahreszeit",,E-Mail
45,74,Weiblich,Rechts,Brandenburg,Die Laubfärbung ist in diesem Herbst besonders schön von sonnengelb bis bronzebraun .,,E-Mail
46,36,Weiblich,Rechts,Hessen,Wenn im Herbst sich die Blätter färben lacht das Herz .,,Opmform
47,39,Männlich,Rechts,Brandenburg,Braun aus bunt und grau aus blau und überall so will ist es nicht genug !,Nochmal nachlesen on richtig geschrieben,Opmform
48,59,Männlich,Rechts,Sachsen,An einem bunten Apfelbaum hängt ein herbstlich reifer Kürbis .,,Opmform
49,46,Weiblich,Rechts,Hessen,Des Nachbashund jagt dem umherliegenden Laub hinterher. ,,Opmform
50,42,Weiblich,Rechts,Rheinland-Pfalz,Hechenpflanzen können im Herbst in den Garten gepflanzt werden. ,,Opmform
51,35,Weiblich,Rechts,Rheinland-Pfalz,"Der Herbst ist eine Jahreszeit mit schönen, buten Blättern. ",,Opmform
52,34,Weiblich,Rechts,Brandenburg,Im Herbst muss man besonders auf im Laub verteckte Tretminen aufpassen .,,Opmform
53,38,Weiblich,Rechts,Brandenburg,Bruno jagt im Herbst die bunten Blätter durch die Pfützen .,,Opmform
54,32,Weiblich,Rechts,Brandenburg,Bruno jagt im Herbst die bunten Blätter durch die Pfützen.,,Opmform
55,32,Männlich,Rechts,Mecklenburg-Vorpommern,Der grässlich regnerische Herbst jagt die Menschen aus den Parks zurück in Ihre Wohnungen .,,Opmform
56,34,Männlich,Rechts,Berlin (Ost),Im Herbst fällt der Regen wie das Laub besonders schön. ,,Opmform
57,26,Weiblich,Rechts,Berlin (Ost),An einem Sonntag erwartet die Familie von Vater Leo Besuch.,,Opmform
58,70,Weiblich,Rechts,Berlin (West),Im Herbst müssen die Kübelpflanzen ins warme Haus gestellt werden. ,,Opmform
59,46,Weiblich,Rechts,Hessen,Die vier Kinder spielen mit den bunten Blättern im Garten.,,Opmform
60,36,Männlich,Rechts,Hessen,Ein Spaziergang im Wald in Herbstfarben macht mich immer glücklich.,,Opmform
61,85,Männlich,Rechts,Berlin (Ost),Im Herbst fallen die Blätter und bedecken Wiesen und Felder,,Opmform
62,81,Weiblich,Rechts,Mecklenburg-Vorpommern,Im Herbst werden die Blätter von den Bäumen fallen,,Opmform
63,38,Männlich,Rechts,Ausland - Japan,Apfel Buch Tisch Sonne Fenster Kaffee Wasser Schlüssel Lampe Haus,,E-Mail
64,34,Männlich,Rechts,Bayern,,,E-Mail
65,35,Weiblich,Rechts,Berlin (Ost),,,E-Mail
66,43,Männlich,Rechts,Brandenburg,,,E-Mail
67,69,Weiblich,Links,Nordrhein-Westfalen,,,E-Mail
68,32,Weiblich,Rechts,Ausland,,,E-Mail
69,37,Weiblich,Rechts,Hessen,,,Opmform
70,39,Männlich,Rechts,Berlin (West),,,Opmform
71,35,Männlich,Rechts,Bayern,,,Opmform
72,40,Männlich,Rechts,Berlin (Ost),,,Opmform
73,32,Männlich,Rechts,Berlin (West),,,Opmform
74,36,Weiblich,Rechts,Rheinland-Pfalz,,,Opmform
75,33,Weiblich,Rechts,Nordrhein-Westfalen,,,Opmform
76,56,Männlich,Rechts,Berlin (Ost),,,Opmform
77,14,Weiblich,Rechts,Berlin (West),,,Opmform
78,36,Männlich,Rechts,Berlin (Ost),,,Opmform
79,13,Männlich,Rechts,Berlin ,,,Klasse 7
80,17,Weiblich,Rechts,Berlin,,,Klasse 13
81,13,Weiblich,Links,Berlin,,,Klasse 7
82,13,Männlich,Rechts,Hessen,,,
83,19,Weiblich,Rechts,Berlin,,,
84,14,Weiblich,Rechts,Berlin,,,
85,14,Männlich,Rechts,Berlin,,,
86,13,Weiblich,Rechts,Bayern,,,
87,14,Männlich,Rechts,Berlin,,,
88,13,Weiblich,Rechts,Berlin,,,
89,14,Männlich,Rechts,Berlin,,,
90,14,Weiblich,Rechts,Berlin,,,
91,14,Weiblich,Rechts,Berlin,,,
92,14,Weiblich,Rechts,Berlin,,,
93,12,Weiblich,Rechts,Berlin,,,
94,14,Weiblich,Rechts,Berlin,,,
95,16,Männlich,Rechts,Berlin,,,
96,15,Männlich,Links,Berlin,,,
97,13,Weiblich,Rechts,Berlin,,,
98,13,Männlich,Links,Berlin,,,
99,12,Weiblich,Rechts,Berlin,,,
100,14,Weiblich,Rechts,Berlin,,,
101,13,Männlich,Rechts,Mecklenburg-Vorpommern,,,
102,13,Weiblich,Links,Berlin,,,
103,13,Weiblich,Rechts,Berlin,,,
104,17,Männlich,Rechts,Ausland,,,
105,16,Männlich,Rechts,Berlin,,,
106,15,Männlich,Rechts,Berlin,,,
107,15,Männlich,Rechts,Berlin,,,
108,16,Männlich,Rechts,Ausland,,,
109,15,Weiblich,Rechts,Ausland,,,
110,14,Weiblich,Rechts,Berlin,,,
111,15,Weiblich,Rechts,Berlin,,,
112,15,Weiblich,Rechts,Berlin,,,
113,15,Männlich,Rechts,Berlin,,,
114,16,Männlich,Rechts,Berlin,,,
115,18,Männlich,Rechts,Berlin,,,
116,18,Männlich,Rechts,Berlin,,,
117,17,Männlich,Rechts,Berlin,,,
118,18,Männlich,Rechts,Berlin,,,
119,18,Männlich,Rechts,Berlin,,,
120,19,Männlich,Rechts,Berlin,,,
121,17,Männlich,Rechts,Berlin,,,
122,19,Männlich,Rechts,Berlin,,,
123,17,Weiblich,Rechts,Berlin,,,
124,17,Weiblich,Rechts,Berlin,,,
125,14,Männlich,Rechts,Berlin,,,
126,14,Weiblich,Rechts,Berlin,,,
127,,,,,,,
128,,,,,,,
129,,,,,,,
130,,,,,,,
131,,,,,,,
132,,,,,,,
133,,,,,,,
134,,,,,,,